path,split,cluster_id,n_chains,chain_clusters,component_size
DIPS-Plus/final/raw/qw/4qw0.pdb1_18.dill,train,component_434b4b95b4fb,2,f2795|A;f2801|K,5298
DIPS-Plus/final/raw/o9/3o9v.pdb3_0.dill,train,component_8882f1b79439,2,f371|B,62
DIPS-Plus/final/raw/o0/4o0n.pdb2_4.dill,train,component_ed40f3402ed5,2,f38315|A,207
DIPS-Plus/final/raw/zw/3zwq.pdb1_0.dill,train,component_125939bd6e6b,2,f37310|A,11
DIPS-Plus/final/raw/ft/3ftn.pdb1_4.dill,train,component_c07adb35cc82,2,f3262|A,30
DIPS-Plus/final/raw/ax/3axk.pdb1_2.dill,train,component_26289733d6da,2,f29327|B;f34169|F,423
DIPS-Plus/final/raw/yh/4yha.pdb2_0.dill,train,component_e3c559c19bd1,2,f30848|A,14
DIPS-Plus/final/raw/hi/1hiw.pdb1_1.dill,train,component_6df7a6c479c6,2,f12638|A,3
DIPS-Plus/final/raw/mg/3mg7.pdb1_25.dill,train,component_434b4b95b4fb,2,f2795|A;f2801|K,5298
DIPS-Plus/final/raw/rh/1rh7.pdb1_0.dill,train,component_f381463c2446,2,f29679|A,18
DIPS-Plus/final/raw/cc/3ccm.pdb1_12.dill,train,component_5ec79613834f,2,f1203|B;f3892|J,30
DIPS-Plus/final/raw/p6/4p6y.pdb1_29.dill,train,component_7dab729107ae,2,f24066|A,18
DIPS-Plus/final/raw/qq/4qq8.pdb1_0.dill,train,component_4f1921f71421,2,f26798|C,25
DIPS-Plus/final/raw/wn/3wnw.pdb1_21.dill,train,component_b132faf248c3,2,f8960|A,166
DIPS-Plus/final/raw/un/3un4.pdb1_86.dill,train,component_434b4b95b4fb,2,f2796|H,5298
DIPS-Plus/final/raw/rz/3rzo.pdb1_15.dill,train,component_5c83bf74bad8,2,f11474|C;f210|K,407
DIPS-Plus/final/raw/q5/1q5q.pdb2_10.dill,train,component_227343122cc0,2,f19841|F,238
DIPS-Plus/final/raw/ug/3ug5.pdb1_5.dill,train,component_42a58ca34b48,2,f25287|A,29
DIPS-Plus/final/raw/xj/2xjn.pdb1_11.dill,train,component_614b434b39fd,2,f33438|G,199
DIPS-Plus/final/raw/vx/2vxi.pdb1_7.dill,train,component_34e475982e70,2,f21297|P,468
DIPS-Plus/final/raw/di/4dib.pdb1_2.dill,train,component_33df824bc6ed,2,f6159|A,186
DIPS-Plus/final/raw/p1/2p11.pdb1_0.dill,train,component_da19ed0e24c9,2,f23837|A,1
DIPS-Plus/final/raw/pu/1puf.pdb1_0.dill,train,component_86a253651f70,2,f2013|B;f25107|A,3
DIPS-Plus/final/raw/p2/3p2l.pdb1_6.dill,train,component_1ec8d5ee7899,2,f31896|E,232
DIPS-Plus/final/raw/xg/1xg3.pdb1_1.dill,train,component_4791ef52834e,2,f30607|A,27
DIPS-Plus/final/raw/sx/3sxo.pdb1_0.dill,train,component_f2eb77edaa4f,2,f31397|A,2
DIPS-Plus/final/raw/dj/3dji.pdb2_1.dill,train,component_c34aab602920,2,f10342|A,67
DIPS-Plus/final/raw/es/2esd.pdb1_3.dill,train,component_a5ae5033bfd5,2,f2871|A,158
DIPS-Plus/final/raw/an/3anz.pdb3_11.dill,train,component_1f5ab24da17d,2,f1172|A,29
DIPS-Plus/final/raw/y7/4y77.pdb1_41.dill,train,component_434b4b95b4fb,2,f2801|K;f29082|K,5298
DIPS-Plus/final/raw/qx/4qxj.pdb1_73.dill,train,component_434b4b95b4fb,2,f2795|A;f2801|K,5298
DIPS-Plus/final/raw/wx/3wxr.pdb1_29.dill,train,component_434b4b95b4fb,2,f2795|A;f2797|I,5298
DIPS-Plus/final/raw/gm/2gmr.pdb1_0.dill,train,component_83d04836fea7,2,f5266|M;f6540|H,147
DIPS-Plus/final/raw/wx/3wxr.pdb1_40.dill,train,component_434b4b95b4fb,2,f2796|H;f29073|G,5298
DIPS-Plus/final/raw/wg/4wgl.pdb1_7.dill,train,component_99d8a06d10be,2,f24591|A,184
DIPS-Plus/final/raw/bl/3blx.pdb1_8.dill,train,component_797ee778df31,2,f2605|E;f5297|C,60
DIPS-Plus/final/raw/q1/3q1t.pdb1_4.dill,train,component_7162c1fd9f33,2,f10044|A,66
DIPS-Plus/final/raw/ya/4ya0.pdb1_58.dill,train,component_434b4b95b4fb,2,f2796|H,5298
