path,split,cluster_id,n_chains,chain_clusters,component_size
data/DIPS-Plus/final/raw/h1/3h1k.pdb1_23.dill,train,component_126d56e92e9e,2,f9614|N,292
data/DIPS-Plus/final/raw/ql/4qlq.pdb1_70.dill,train,component_434b4b95b4fb,2,f2795|A;f29082|K,5298
data/DIPS-Plus/final/raw/lk/4lk5.pdb1_2.dill,train,component_7162c1fd9f33,2,f10044|A,66
data/DIPS-Plus/final/raw/zk/4zkx.pdb1_14.dill,train,component_cd38d549f724,2,f14889|D,85
data/DIPS-Plus/final/raw/f3/1f3x.pdb1_0.dill,train,component_f9e0ba46df49,2,f31508|A,100
data/DIPS-Plus/final/raw/ej/3ej6.pdb1_3.dill,train,component_a11e21e9d011,2,f10539|A,208
data/DIPS-Plus/final/raw/yb/2ybv.pdb1_36.dill,train,component_26289733d6da,2,f29327|B;f34169|F,423
data/DIPS-Plus/final/raw/ut/3utb.pdb1_5.dill,train,component_ac9b67d94fe0,2,f7890|H;f7892|E,540
data/DIPS-Plus/final/raw/uz/2uz3.pdb1_1.dill,train,component_6b6f874ec6e5,2,f34365|B,19
data/DIPS-Plus/final/raw/qv/4qv5.pdb1_86.dill,train,component_434b4b95b4fb,2,f2796|H,5298
data/DIPS-Plus/final/raw/qv/4qv4.pdb1_20.dill,train,component_434b4b95b4fb,2,f2795|A;f2801|K,5298
data/DIPS-Plus/final/raw/nf/1nf4.pdb1_24.dill,train,component_34e475982e70,2,f21297|P,468
data/DIPS-Plus/final/raw/jq/3jqf.pdb1_0.dill,train,component_05639143620e,2,f35729|A,109
data/DIPS-Plus/final/raw/nv/3nvy.pdb1_8.dill,train,component_2d00407acdf9,2,f6829|A,94
data/DIPS-Plus/final/raw/wx/3wx7.pdb3_0.dill,train,component_69d302df152a,2,f22150|A,2
data/DIPS-Plus/final/raw/ql/4qlt.pdb1_20.dill,train,component_434b4b95b4fb,2,f2795|A;f2801|K,5298
data/DIPS-Plus/final/raw/u1/1u1g.pdb1_1.dill,train,component_302a40209e0a,2,f19434|A,136
data/DIPS-Plus/final/raw/i2/2i2x.pdb2_2.dill,train,component_c69f68ab9493,2,f13719|A;f13719|B,20
data/DIPS-Plus/final/raw/tj/3tjk.pdb1_6.dill,train,component_bac24c35451f,2,f16912|A,109
data/DIPS-Plus/final/raw/hf/2hfo.pdb1_15.dill,train,component_f25e0c532399,2,f12348|A,16
data/DIPS-Plus/final/raw/ll/1llu.pdb2_5.dill,train,component_00312b433d12,2,f16699|A,65
data/DIPS-Plus/final/raw/fa/2fak.pdb1_20.dill,train,component_434b4b95b4fb,2,f2795|A,5298
data/DIPS-Plus/final/raw/yf/2yfi.pdb2_0.dill,train,component_cc2db7ce7b0d,2,f10306|A;f38348|B,188
data/DIPS-Plus/final/raw/rr/3rrl.pdb1_0.dill,train,component_9125b8d7f344,2,f23686|A,19
data/DIPS-Plus/final/raw/p2/2p2o.pdb2_2.dill,train,component_c58b65bc29fb,2,f17652|A,38
